key|hi|kn|ta|te|ml|mr|bn|gu|pa|ur|as|or
recenter|मानचित्र केंद्रित करें|ನಕ್ಷೆ ಕೇಂದ್ರೀಕರಿಸಿ|வரைபடத்தை மையப்படுத்து|పటాన్ని కేంద్రీకరించు|ഭൂപടം കേന്ദ്രീകരിക്കുക|नकाशा केंद्रित करा|মানচিত্র কেন্দ্রীভূত করুন|નકશો કેન્દ્રિત કરો|ਨਕਸ਼ਾ ਕੇਂਦਰਿਤ ਕਰੋ|نقشہ مرکز میں لائیں|মানচিত্ৰ কেন্দ্ৰীভূত কৰক|ମାନଚିତ୍ର କେନ୍ଦ୍ରିତ କରନ୍ତୁ
legend|चिह्नों का अर्थ|ಚಿಹ್ನೆಗಳ ಅರ್ಥ|குறியீட்டு விளக்கம்|సంకేతాల వివరణ|ചിഹ്നങ്ങളുടെ അർത്ഥം|चिन्हांचा अर्थ|চিহ্নের অর্থ|ચિહ્નોનો અર્થ|ਚਿੰਨ੍ਹਾਂ ਦਾ ਅਰਥ|علامات کی وضاحت|চিহ্নৰ অৰ্থ|ଚିହ୍ନର ଅର୍ଥ
search|खोजें|ಹುಡುಕಿ|தேடு|వెతుకు|തിരയുക|शोधा|খুঁজুন|શોધો|ਖੋਜੋ|تلاش کریں|বিচাৰক|ଖୋଜନ୍ତୁ
all|सभी|ಎಲ್ಲಾ|அனைத்தும்|అన్నీ|എല്ലാം|सर्व|সব|બધા|ਸਾਰੇ|سب|সকলো|ସମସ୍ତ
priority|प्राथमिकता|ಆದ್ಯತೆ|முன்னுரிமை|ప్రాధాన్యత|മുൻഗണന|प्राधान्य|অগ্রাধিকার|પ્રાથમિકતા|ਤਰਜੀਹ|ترجیح|অগ্ৰাধিকাৰ|ପ୍ରାଥମିକତା
people|लोग|ಜನರು|மக்கள்|ప్రజలు|ആളുകൾ|लोक|মানুষ|લોકો|ਲੋਕ|افراد|মানুহ|ଲୋକ
severity|गंभीरता|ತೀವ್ರತೆ|தீவிரம்|తీవ్రత|തീവ്രത|तीव्रता|তীব্রতা|ગંભીરતા|ਗੰਭੀਰਤਾ|شدت|তীব্ৰতা|ଗମ୍ଭୀରତା
confidence|विश्वसनीयता|ವಿಶ್ವಾಸಮಟ್ಟ|நம்பகத்தன்மை|విశ్వసనీయత|വിശ്വാസ്യത|विश्वासार्हता|বিশ্বাসযোগ্যতা|વિશ્વસનીયતા|ਭਰੋਸਾ|اعتماد|বিশ্বাসযোগ্যতা|ବିଶ୍ୱସନୀୟତା
needs|ज़रूरतें|ಅಗತ್ಯಗಳು|தேவைகள்|అవసరాలు|ആവശ്യങ്ങൾ|गरजा|প্রয়োজন|જરૂરિયાતો|ਲੋੜਾਂ|ضروریات|প্ৰয়োজন|ଆବଶ୍ୟକତା
vulnerabilities|विशेष सहायता|ವಿಶೇಷ ನೆರವು|சிறப்பு உதவி|ప్రత్యేక సహాయం|പ്രത്യേക സഹായം|विशेष मदत|বিশেষ সহায়তা|વિશેષ સહાય|ਵਿਸ਼ੇਸ਼ ਸਹਾਇਤਾ|خصوصی مدد|বিশেষ সহায়|ବିଶେଷ ସହାୟତା
location|स्थान|ಸ್ಥಳ|இடம்|ప్రాంతం|സ്ഥലം|ठिकाण|স্থান|સ્થળ|ਸਥਾਨ|مقام|স্থান|ସ୍ଥାନ
type|प्रकार|ವಿಧ|வகை|రకం|തരം|प्रकार|ধরন|પ્રકાર|ਕਿਸਮ|قسم|প্ৰকাৰ|ପ୍ରକାର
status|स्थिति|ಸ್ಥಿತಿ|நிலை|స్థితి|സ്ഥിതി|स्थिती|অবস্থা|સ્થિતિ|ਸਥਿਤੀ|حالت|অৱস্থা|ସ୍ଥିତି
original|मूल रिपोर्ट|ಮೂಲ ವರದಿ|அசல் அறிக்கை|అసలు నివేదిక|യഥാർത്ഥ റിപ്പോർട്ട്|मूळ अहवाल|মূল প্রতিবেদন|મૂળ અહેવાલ|ਅਸਲ ਰਿਪੋਰਟ|اصل رپورٹ|মূল প্ৰতিবেদন|ମୂଳ ରିପୋର୍ଟ
structured|संरचित घटना|ರಚನಾತ್ಮಕ ಘಟನೆ|கட்டமைக்கப்பட்ட சம்பவம்|నిర్మాణాత్మక ఘటన|ക്രമീകരിച്ച സംഭവം|संरचित घटना|কাঠামোবদ্ধ ঘটনা|સંરચિત ઘટના|ਸੰਗਠਿਤ ਘਟਨਾ|منظم واقعہ|গাঁথনিবদ্ধ ঘটনা|ସଂରଚିତ ଘଟଣା
translation|अनुवाद|ಅನುವಾದ|மொழிபெயர்ப்பு|అనువాదం|പരിഭാഷ|भाषांतर|অনুবাদ|અનુવાદ|ਅਨੁਵਾਦ|ترجمہ|অনুবাদ|ଅନୁବାଦ
merged|रिपोर्टें जोड़ी गईं|ವರದಿಗಳನ್ನು ವಿಲೀನಗೊಳಿಸಲಾಗಿದೆ|அறிக்கைகள் இணைக்கப்பட்டன|నివేదికలు విలీనం అయ్యాయి|റിപ്പോർട്ടുകൾ ലയിപ്പിച്ചു|अहवाल एकत्र केले|প্রতিবেদন একত্রিত|અહેવાલો જોડ્યા|ਰਿਪੋਰਟਾਂ ਜੋੜੀਆਂ|رپورٹیں یکجا کی گئیں|প্ৰতিবেদন একত্ৰিত|ରିପୋର୍ଟ ଏକତ୍ରିତ
flood|बाढ़ बचाव|ಪ್ರವಾಹ ರಕ್ಷಣೆ|வெள்ள மீட்பு|వరద రక్షణ|വെള്ളപ്പൊക്ക രക്ഷാപ്രവർത്തനം|पूर बचाव|বন্যা উদ্ধার|પૂર બચાવ|ਹੜ੍ਹ ਬਚਾਅ|سیلاب سے بچاؤ|বান উদ্ধাৰ|ବନ୍ୟା ଉଦ୍ଧାର
medical|चिकित्सा आपातकाल|ವೈದ್ಯಕೀಯ ತುರ್ತು|மருத்துவ அவசரம்|వైద్య అత్యవసరం|വൈദ്യ അടിയന്തരാവസ്ഥ|वैद्यकीय आणीबाणी|চিকিৎসা জরুরি অবস্থা|તબીબી કટોકટી|ਡਾਕਟਰੀ ਐਮਰਜੈਂਸੀ|طبی ہنگامی حالت|চিকিৎসা জৰুৰী অৱস্থা|ଚିକିତ୍ସା ଜରୁରୀକାଳ
 evacuation|निकासी|ಸ್ಥಳಾಂತರ|வெளியேற்றம்|తరలింపు|ഒഴിപ്പിക്കൽ|स्थलांतर|স্থানান্তর|સ્થળાંતર|ਨਿਕਾਸੀ|انخلا|স্থানান্তৰ|ସ୍ଥାନାନ୍ତର
landslide|सड़क पर मलबा|ರಸ್ತೆಯ ಅವಶೇಷ|சாலை இடிபாடுகள்|రోడ్డు శిథిలాలు|റോഡിലെ അവശിഷ്ടങ്ങൾ|रस्त्यावरील ढिगारा|রাস্তায় ধ্বংসাবশেষ|રસ્તા પર કાટમાળ|ਸੜਕ ਉੱਤੇ ਮਲਬਾ|سڑک پر ملبہ|পথৰ ধ্বংসাৱশেষ|ରାସ୍ତାରେ ଭଗ୍ନାବଶେଷ
supplies|राहत सामग्री|ಪರಿಹಾರ ಸಾಮಗ್ರಿ|நிவாரணப் பொருட்கள்|సహాయ సామగ్రి|ദുരിതാശ്വാസ വസ്തുക്കൾ|मदत साहित्य|ত্রাণ সামগ্রী|રાહત સામગ્રી|ਰਾਹਤ ਸਮੱਗਰੀ|امدادی سامان|সাহায্য সামগ্ৰী|ରିଲିଫ୍ ସାମଗ୍ରୀ
received|प्राप्त|ಸ್ವೀಕರಿಸಲಾಗಿದೆ|பெறப்பட்டது|అందింది|ലഭിച്ചു|प्राप्त|প্রাপ্ত|પ્રાપ્ત|ਪ੍ਰਾਪਤ|موصول|প্ৰাপ্ত|ପ୍ରାପ୍ତ
analyzing|रिपोर्ट का विश्लेषण|ವರದಿ ವಿಶ್ಲೇಷಣೆ|அறிக்கை பகுப்பாய்வு|నివేదిక విశ్లేషణ|റിപ്പോർട്ട് വിശകലനം|अहवालाचे विश्लेषण|প্রতিবেদন বিশ্লেষণ|અહેવાલનું વિશ્લેષણ|ਰਿਪੋਰਟ ਵਿਸ਼ਲੇਸ਼ਣ|رپورٹ کا تجزیہ|প্ৰতিবেদন বিশ্লেষণ|ରିପୋର୍ଟ ବିଶ୍ଳେଷଣ
recommended|अनुशंसित|ಶಿಫಾರಸು|பரிந்துரைக்கப்பட்டது|సిఫార్సు|ശുപാർശ ചെയ്തു|शिफारस केलेले|সুপারিশকৃত|ભલામણ કરેલ|ਸਿਫ਼ਾਰਸ਼ੀ|تجویز کردہ|পৰামৰ্শকৃত|ସୁପାରିଶକୃତ
awaiting|स्वीकृति लंबित|ಅನುಮೋದನೆ ಬಾಕಿ|ஒப்புதலுக்குக் காத்திருப்பு|ఆమోదం పెండింగ్|അംഗീകാരം കാത്തിരിക്കുന്നു|मंजुरी प्रलंबित|অনুমোদনের অপেক্ষা|મંજૂરી બાકી|ਮਨਜ਼ੂਰੀ ਦੀ ਉਡੀਕ|منظوری کا انتظار|অনুমোদনৰ অপেক্ষা|ଅନୁମୋଦନ ଅପେକ୍ଷାରେ
dispatched|रवाना|ರವಾನಿಸಲಾಗಿದೆ|அனுப்பப்பட்டது|పంపబడింది|അയച്ചു|रवाना|পাঠানো হয়েছে|રવાના|ਰਵਾਨਾ|روانہ|প্ৰেৰণ কৰা হৈছে|ପଠାଗଲା
blocked|सड़क अवरुद्ध|ರಸ್ತೆ ತಡೆ|சாலைத் தடை|రోడ్డు అడ్డంకి|റോഡ് തടസ്സം|रस्ता अडथळा|রাস্তা অবরুদ্ধ|રસ્તો અવરોધિત|ਸੜਕ ਬੰਦ|سڑک بند|পথ অৱৰোধ|ରାସ୍ତା ଅବରୋଧ
replanning|पुनः योजना|ಮರುಯೋಜನೆ|மறு திட்டமிடல்|పునః ప్రణాళిక|പുനരാസൂത്രണം|पुनर्नियोजन|পুনঃপরিকল্পনা|પુનઃ આયોજન|ਮੁੜ ਯੋਜਨਾ|دوبارہ منصوبہ بندی|পুনৰ পৰিকল্পনা|ପୁନଃ ଯୋଜନା
resolved|समाधान हुआ|ಪರಿಹರಿಸಲಾಗಿದೆ|தீர்க்கப்பட்டது|పరిష్కరించబడింది|പരിഹരിച്ചു|निराकरण झाले|সমাধান হয়েছে|ઉકેલાયું|ਹੱਲ ਹੋਇਆ|حل ہو گیا|সমাধান হৈছে|ସମାଧାନ ହେଲା
rejected|अस्वीकृत|ತಿರಸ್ಕರಿಸಲಾಗಿದೆ|நிராகரிக்கப்பட்டது|తిరస్కరించబడింది|നിരസിച്ചു|नाकारले|প্রত্যাখ্যাত|નકારેલ|ਰੱਦ|مسترد|প্ৰত্যাখ্যাত|ପ୍ରତ୍ୟାଖ୍ୟାତ
busy|व्यस्त|ನಿರತ|பணியில்|బిజీ|തിരക്കിലാണ്|व्यस्त|ব্যস্ত|વ્યસ્ત|ਰੁੱਝਿਆ|مصروف|ব্যস্ত|ବ୍ୟସ୍ତ
unavailable|अनुपलब्ध|ಅಲಭ್ಯ|கிடைக்கவில்லை|అందుబాటులో లేదు|ലഭ്യമല്ല|अनुपलब्ध|অনুপলব্ধ|અનુપલબ્ધ|ਅਣਉਪਲਬਧ|دستیاب نہیں|অনুপলব্ধ|ଅନୁପଲବ୍ଧ
capacity|क्षमता|ಸಾಮರ್ಥ್ಯ|கொள்ளளவு|సామర్థ్యం|ശേഷി|क्षमता|ধারণক্ষমতা|ક્ષમતા|ਸਮਰੱਥਾ|گنجائش|ধাৰণক্ষমতা|କ୍ଷମତା
capabilities|सुविधाएँ|ಸೌಲಭ್ಯಗಳು|திறன்கள்|సౌకర్యాలు|സൗകര്യങ്ങൾ|सुविधा|সক্ষমতা|સુવિધાઓ|ਸਹੂਲਤਾਂ|صلاحیتیں|সক্ষমতা|ସୁବିଧା
assignment|आवंटित घटना|ನಿಯೋಜಿತ ಘಟನೆ|ஒதுக்கப்பட்ட சம்பவம்|కేటాయించిన ఘటన|നിയോഗിച്ച സംഭവം|नेमलेली घटना|বরাদ্দকৃত ঘটনা|ફાળવેલ ઘટના|ਸੌਂਪੀ ਘਟਨਾ|تفویض کردہ واقعہ|আবণ্টিত ঘটনা|ଆବଣ୍ଟିତ ଘଟଣା
eta|आगमन समय|ಆಗಮನ ಸಮಯ|வருகை நேரம்|చేరే సమయం|എത്തുന്ന സമയം|आगमन वेळ|পৌঁছানোর সময়|આગમન સમય|ਪਹੁੰਚਣ ਦਾ ਸਮਾਂ|آمد کا وقت|আগমনৰ সময়|ପହଞ୍ଚିବା ସମୟ
distance|दूरी|ದೂರ|தூரம்|దూరం|ദൂരം|अंतर|দূরত্ব|અંતર|ਦੂਰੀ|فاصلہ|দূৰত্ব|ଦୂରତା
minutes|मिनट|ನಿಮಿಷ|நிமிடம்|నిమిషం|മിനിറ്റ്|मिनिटे|মিনিট|મિનિટ|ਮਿੰਟ|منٹ|মিনিট|ମିନିଟ୍
km|किमी|ಕಿಮೀ|கிமீ|కి.మీ|കി.മീ|किमी|কিমি|કિમી|ਕਿਮੀ|کلومیٹر|কিমি|କିମି
als|उन्नत जीवन रक्षक सहायता|ಸುಧಾರಿತ ಜೀವ ರಕ್ಷಣೆ|மேம்பட்ட உயிர் ஆதரவு|అధునాతన ప్రాణ రక్షణ|നൂതന ജീവൻരക്ഷാ സഹായം|प्रगत जीवनरक्षक मदत|উন্নত জীবনরক্ষাকারী সহায়তা|અદ્યતન જીવન રક્ષક સહાય|ਉੱਨਤ ਜੀਵਨ ਰੱਖਿਆ|جدید زندگی بچانے کی سہولت|উন্নত জীৱনৰক্ষক সহায়|ଉନ୍ନତ ଜୀବନରକ୍ଷା ସହାୟତା
bls|बुनियादी जीवन रक्षक सहायता|ಮೂಲ ಜೀವ ರಕ್ಷಣೆ|அடிப்படை உயிர் ஆதரவு|ప్రాథమిక ప్రాణ రక్షణ|അടിസ്ഥാന ജീവൻരക്ഷാ സഹായം|मूलभूत जीवनरक्षक मदत|প্রাথমিক জীবনরক্ষাকারী সহায়তা|મૂળભૂત જીવન રક્ષક સહાય|ਮੁੱਢਲੀ ਜੀਵਨ ਰੱਖਿਆ|بنیادی زندگی بچانے کی سہولت|প্ৰাথমিক জীৱনৰক্ষক সহায়|ମୌଳିକ ଜୀବନରକ୍ଷା ସହାୟତା
water|जल बचाव|ಜಲ ರಕ್ಷಣೆ|நீர் மீட்பு|నీటి రక్షణ|ജല രക്ഷാപ്രവർത്തനം|जल बचाव|জল উদ্ধার|જળ બચાવ|ਪਾਣੀ ਵਿੱਚ ਬਚਾਅ|آبی بچاؤ|জল উদ্ধাৰ|ଜଳ ଉଦ୍ଧାର
firstaid|प्राथमिक उपचार|ಪ್ರಥಮ ಚಿಕಿತ್ಸೆ|முதலுதவி|ప్రథమ చికిత్స|പ്രഥമശുശ്രൂഷ|प्रथमोपचार|প্রাথমিক চিকিৎসা|પ્રાથમિક સારવાર|ਮੁੱਢਲੀ ਸਹਾਇਤਾ|ابتدائی طبی امداد|প্ৰাথমিক চিকিৎসা|ପ୍ରାଥମିକ ଚିକିତ୍ସା
care|आपातकालीन उपचार|ತುರ್ತು ಚಿಕಿತ್ಸೆ|அவசர சிகிச்சை|అత్యవసర చికిత్స|അടിയന്തര ചികിത്സ|आपत्कालीन उपचार|জরুরি চিকিৎসা|કટોકટી સારવાર|ਐਮਰਜੈਂਸੀ ਇਲਾਜ|ہنگامی علاج|জৰুৰী চিকিৎসা|ଜରୁରୀ ଚିକିତ୍ସା
icu|गहन चिकित्सा|ತೀವ್ರ ನಿಗಾ|தீவிர சிகிச்சை|తీవ్ర చికిత్స|തീവ്രപരിചരണം|अतिदक्षता|নিবিড় পরিচর্যা|સઘન સારવાર|ਤੀਬਰ ਦੇਖਭਾਲ|انتہائی نگہداشت|নিবিড় পৰিচৰ্যা|ଗଭୀର ଚିକିତ୍ସା
elderly|बुज़ुर्ग / चलने में असमर्थ|ವೃದ್ಧರು / ಚಲನೆಗೆ ಅಸಮರ್ಥರು|முதியவர் / நடக்க இயலாதவர்|వృద్ధులు / నడవలేనివారు|വയോധികർ / നടക്കാൻ കഴിയാത്തവർ|वृद्ध / चालण्यास असमर्थ|বয়স্ক / চলাচলে অক্ষম|વૃદ્ધ / ચાલવામાં અસમર્થ|ਬਜ਼ੁਰਗ / ਤੁਰਨ ਤੋਂ ਅਸਮਰੱਥ|بزرگ / چلنے سے معذور|বৃদ্ধ / চলাচলত অক্ষম|ବୃଦ୍ଧ / ଚାଲିବାରେ ଅସମର୍ଥ
plan|प्रतिक्रिया योजना|ಪ್ರತಿಕ್ರಿಯೆ ಯೋಜನೆ|நடவடிக்கைத் திட்டம்|స్పందన ప్రణాళిక|പ്രതികരണ പദ്ധതി|प्रतिसाद योजना|প্রতিক্রিয়া পরিকল্পনা|પ્રતિસાદ યોજના|ਕਾਰਵਾਈ ਯੋਜਨਾ|ردعمل کا منصوبہ|সঁহাৰিৰ পৰিকল্পনা|ପ୍ରତିକ୍ରିୟା ଯୋଜନା
why|यह योजना क्यों?|ಈ ಯೋಜನೆ ಏಕೆ?|இந்தத் திட்டம் ஏன்?|ఈ ప్రణాళిక ఎందుకు?|ഈ പദ്ധതി എന്തുകൊണ്ട്?|ही योजना का?|এই পরিকল্পনা কেন?|આ યોજના શા માટે?|ਇਹ ਯੋਜਨਾ ਕਿਉਂ?|یہ منصوبہ کیوں؟|এই পৰিকল্পনা কিয়?|ଏହି ଯୋଜନା କାହିଁକି?
replace|बदलें|ಬದಲಿಸಿ|மாற்று|భర్తీ చేయి|പകരം വയ്ക്കുക|बदला|প্রতিস্থাপন|બદલો|ਬਦਲੋ|تبدیل کریں|সলনি কৰক|ବଦଳାନ୍ତୁ
with|इसके साथ|ಇದರೊಂದಿಗೆ|இதனுடன்|దీనితో|ഇതുപയോഗിച്ച്|यासह|এর সঙ্গে|આની સાથે|ਇਸ ਨਾਲ|اس کے ساتھ|ইয়াৰ সৈতে|ଏହା ସହ
noHigher|उच्च प्राथमिकता का अन्य काम नहीं|ಹೆಚ್ಚಿನ ಆದ್ಯತೆಯ ಬೇರೆ ಕೆಲಸವಿಲ್ಲ|அதிக முன்னுரிமைப் பணி இல்லை|అధిక ప్రాధాన్యత పని లేదు|ഉയർന്ന മുൻഗണനയുള്ള മറ്റൊരു ജോലിയില്ല|अधिक प्राधान्याचे काम नाही|বেশি অগ্রাধিকারের কাজ নেই|વધુ પ્રાથમિકતાનું કામ નથી|ਵੱਧ ਤਰਜੀਹ ਵਾਲਾ ਕੰਮ ਨਹੀਂ|زیادہ ترجیح کا کام نہیں|অধিক অগ্ৰাধিকাৰৰ কাম নাই|ଅଧିକ ପ୍ରାଥମିକତା କାମ ନାହିଁ
continues|मौके पर जारी|ಸ್ಥಳದಲ್ಲಿ ಮುಂದುವರಿಯುತ್ತದೆ|இடத்தில் தொடர்கிறது|స్థలంలో కొనసాగుతుంది|സ്ഥലത്ത് തുടരുന്നു|घटनास्थळी सुरू|ঘটনাস্থলে অব্যাহত|સ્થળ પર ચાલુ|ਮੌਕੇ ਉੱਤੇ ਜਾਰੀ|موقع پر جاری|ঘটনাস্থলীত অব্যাহত|ଘଟଣାସ୍ଥଳରେ ଜାରି
approve|रवानगी स्वीकृत करें|ರವಾನೆಗೆ ಅನುಮೋದಿಸಿ|அனுப்ப ஒப்புதல்|పంపడానికి ఆమోదించు|അയയ്ക്കാൻ അംഗീകരിക്കുക|रवानगी मंजूर करा|পাঠানোর অনুমোদন|રવાનગી મંજૂર કરો|ਰਵਾਨਗੀ ਮਨਜ਼ੂਰ ਕਰੋ|روانگی منظور کریں|প্ৰেৰণ অনুমোদন কৰক|ପଠାଇବା ଅନୁମୋଦନ
modify|संशोधित करें|ತಿದ್ದುಪಡಿ ಮಾಡಿ|திருத்து|సవరించు|മാറ്റം വരുത്തുക|बदल करा|সংশোধন|સુધારો|ਸੋਧੋ|ترمیم کریں|সংশোধন কৰক|ସଂଶୋଧନ
reject|अस्वीकार करें|ತಿರಸ್ಕರಿಸಿ|நிராகரி|తిరస్కరించు|നിരസിക്കുക|नाकारा|প্রত্যাখ্যান|નકારો|ਰੱਦ ਕਰੋ|مسترد کریں|প্ৰত্যাখ্যান কৰক|ପ୍ରତ୍ୟାଖ୍ୟାନ
cancel|रद्द करें|ರದ್ದುಮಾಡಿ|ரத்து|రద్దు|റദ്ദാക്കുക|रद्द करा|বাতিল|રદ કરો|ਰੱਦ|منسوخ کریں|বাতিল কৰক|ବାତିଲ୍
save|बदलाव सहेजें|ಬದಲಾವಣೆ ಉಳಿಸಿ|மாற்றங்களைச் சேமி|మార్పులు భద్రపరచు|മാറ്റങ്ങൾ സംരക്ഷിക്കുക|बदल जतन करा|পরিবর্তন সংরক্ষণ|ફેરફારો સાચવો|ਤਬਦੀਲੀਆਂ ਸੁਰੱਖਿਅਤ ਕਰੋ|تبدیلیاں محفوظ کریں|পৰিৱৰ্তন সংৰক্ষণ|ପରିବର୍ତ୍ତନ ସଞ୍ଚୟ
